,ts_code,symbol,name,area,industry,market,list_date
1499,300950.SZ,300950,德固特,山东,专用机械,创业板,20210303
1500,300951.SZ,300951,博硕科技,深圳,元器件,创业板,20210226
1501,300952.SZ,300952,恒辉安防,江苏,纺织,创业板,20210311
1502,300955.SZ,300955,嘉亨家化,福建,日用化工,创业板,20210324
1503,300956.SZ,300956,英力股份,安徽,IT设备,创业板,20210326
1504,300958.SZ,300958,建工修复,北京,环境保护,创业板,20210329
1505,300959.SZ,300959,线上线下,江苏,电信运营,创业板,20210322
1506,300960.SZ,300960,通业科技,深圳,运输设备,创业板,20210329
1507,300961.SZ,300961,深水海纳,深圳,环境保护,创业板,20210330
1508,300962.SZ,300962,中金辐照,深圳,医疗保健,创业板,20210409
1509,300963.SZ,300963,中洲特材,上海,小金属,创业板,20210409
1510,300964.SZ,300964,本川智能,江苏,元器件,创业板,20210805
1511,300965.SZ,300965,恒宇信通,北京,航空,创业板,20210402
1512,300966.SZ,300966,共同药业,湖北,化学制药,创业板,20210409
1513,300967.SZ,300967,晓鸣股份,宁夏,农业综合,创业板,20210413
1514,300968.SZ,300968,格林精密,广东,元器件,创业板,20210415
1515,300969.SZ,300969,恒帅股份,浙江,汽车配件,创业板,20210412
1516,300970.SZ,300970,华绿生物,江苏,种植业,创业板,20210412
1517,300971.SZ,300971,博亚精工,湖北,机械基件,创业板,20210415
1518,300972.SZ,300972,万辰生物,福建,种植业,创业板,20210419
1519,300975.SZ,300975,商络电子,江苏,元器件,创业板,20210421
1520,300976.SZ,300976,达瑞电子,广东,元器件,创业板,20210419
1521,300977.SZ,300977,深圳瑞捷,深圳,建筑工程,创业板,20210420
1522,300978.SZ,300978,东箭科技,广东,汽车配件,创业板,20210426
1523,300980.SZ,300980,祥源新材,湖北,塑料,创业板,20210421
1524,300983.SZ,300983,尤安设计,上海,建筑工程,创业板,20210420
1525,300984.SZ,300984,金沃股份,浙江,机械基件,创业板,20210618
1526,300985.SZ,300985,致远新能,吉林,汽车配件,创业板,20210429
1527,300986.SZ,300986,志特新材,江西,铝,创业板,20210430
1528,300987.SZ,300987,川网传媒,四川,互联网,创业板,20210511
1529,300988.SZ,300988,津荣天宇,天津,机械基件,创业板,20210512
1530,300989.SZ,300989,蕾奥规划,深圳,建筑工程,创业板,20210507
1531,300990.SZ,300990,同飞股份,河北,专用机械,创业板,20210512
1532,300991.SZ,300991,创益通,深圳,元器件,创业板,20210520
1533,300992.SZ,300992,泰福泵业,浙江,机械基件,创业板,20210525
1534,300993.SZ,300993,玉马遮阳,山东,家居用品,创业板,20210524
